aksara_lontara,aksara_latin
ᨉᨘᨕᨅᨈᨘ,duambatu
ᨉᨘᨈ,duta
ᨕᨙᨅᨘᨕᨗ,èbbu’i
ᨕᨙᨅᨘᨀᨗ,èbbu’ki
ᨕᨙᨁᨕᨙ,ègaè
ᨕᨙᨁᨊ,èganna
ᨕᨙᨒᨕᨘ,èllau
ᨕᨛᨃ,engka
ᨕᨛᨃᨕᨙ,engkaè
ᨕᨛᨃᨁ,engkaga
ᨕᨛᨃᨕᨗ,engkai
ᨕᨛᨃᨊ,engkana
ᨕᨛᨃᨈᨚ,engkato
ᨕᨛᨊᨛ,enneng
ᨕᨛᨋᨛᨂᨙ,enrengè
ᨕᨛᨋᨛᨂᨙᨈᨚᨄ,enrengètoppa
ᨕᨛᨄ,eppa’
ᨕᨛᨄᨕᨗ,eppa’i
ᨕᨙᨑᨚ,èro
ᨕᨛᨔᨚᨕᨙ,essoè
ᨕᨙᨓᨂᨛᨄ,èwangeppa
ᨁᨒᨘ,galung
ᨁᨕᨘ,gau’
ᨁᨚᨒᨚ,golla
ᨁᨚᨒᨚ,golo’
ᨁᨚᨓ,gowa
ᨁᨘᨑᨘᨕᨙ,guruè
ᨖ,ha
ᨖᨍᨗ,hajji
ᨖᨆᨘᨉᨗ,hamudding
ᨖᨑ,harang
ᨖᨑᨘᨔᨘᨄᨗ,harusupi
ᨖᨔ,Hasang
ᨖᨔᨊᨘᨉᨗ,hasanudding
ᨖᨚᨆᨚᨊᨗᨆᨛ,homonimeng
ᨖᨘᨑᨘᨄᨘ,hurupu’
ᨖᨘᨑᨘᨄᨘᨊ,hurupu’na
ᨕᨗ,i
ᨕᨗᨕ,ia
ᨕᨗᨕᨁᨘᨑᨘᨕᨗᨓᨗ,iagguruiwi
ᨕᨗᨕᨀᨗᨕ,iakkia
ᨕᨗᨕᨊᨕᨙ,ianaè
ᨕᨗᨕᨊᨑᨗᨈᨘ,ianaritu
ᨕᨗᨕᨑᨙᨁ,iarègga
ᨕᨗᨉᨗ,idi’
ᨕᨗᨉᨗᨊ,idi’na
ᨕᨗᨁ,iga
ᨕᨗᨀᨚ,iko
ᨕᨗᨒᨒᨛ,ilaleng
ᨕᨗᨒᨈᨗᨊᨗ,ilatini
ᨕᨗᨒᨒ,illalla
ᨕᨗᨊ,inang
ᨕᨗᨉᨗᨕ,india
ᨕᨗᨉᨚᨀᨘ,indokku’
ᨕᨗᨉᨚ,indo'
ᨕᨗᨉᨚᨊᨙᨔᨗᨕᨕᨙ,indonesiaè
ᨕᨗᨄᨀᨈᨍᨂᨗ,ipakatajanngi
ᨕᨗᨑᨗᨔᨛ,irisseng
ᨕᨗᨔᨛᨊ,ise’na
ᨕᨗᨈᨊᨗ,itani
ᨕᨗᨐ,iya’
ᨕᨗᨐ,iyya
ᨕᨗᨐᨑᨚ,iyyaro
ᨍᨍᨗ,jaji
ᨍᨀ,jakka
ᨍᨒ,jala
ᨍᨆᨕᨗ,jamai
ᨍᨆᨍᨆᨊ,jama-jamanna
ᨍᨆ,jamang
ᨍᨆᨂᨛᨂᨗ,jamangngengi
ᨍᨆᨊ,jamanna
ᨍᨆᨈ,jamatta’
ᨍᨏᨗ,janci
ᨍᨂ,janga’
ᨍᨓᨕᨙ,jawaè
ᨍᨙᨊᨙ,jènnè’
ᨍᨚᨕ,joa’
ᨍᨚᨀ,jokka
ᨍᨚᨄ,joppa
ᨍᨚᨄᨊᨗ,joppani
ᨍᨘᨆᨛᨒᨊ,jumelana
ᨀ,ka
ᨀᨉᨘᨕᨊ,kaduanna
ᨀᨒᨚᨊ,kallona
ᨀᨆᨗᨊ,kaminang
ᨀᨑᨕᨙ,karaèng
ᨀᨑᨀᨛᨈᨛᨑᨗᨔᨛᨈᨗᨊ,karaketerisetina
ᨀᨑᨙᨅ,karèba
ᨀᨑᨛᨒᨕᨙ,karellaè
ᨀᨈᨚᨑᨚ,katoro
ᨀᨛᨉᨘᨕ,kedua
ᨀᨛᨔᨗᨊ,kessinna
ᨀᨛᨔᨗ,kessi'
ᨅᨙᨅᨙ,bèbè
ᨀᨛᨈᨛᨑᨂ,keterangang
ᨀᨚᨉᨕᨙ,kondae
ᨀᨘᨕᨅᨛᨀᨛ,kuabbekkeng
ᨀᨘᨕᨌᨐ,kuaccaya
ᨀᨘᨕᨀᨒᨙᨄᨘ,kuakkalèpu
ᨀᨘᨕᨋᨙ,kuanrè
ᨀᨘᨕᨈᨙᨀᨙ,kuattèkkè
ᨀᨘᨒᨑᨗᨕ,kulariang
ᨀᨘᨒᨚᨒ,kulolang
ᨀᨘᨆᨒᨚᨒᨚ,kumalolo
ᨀᨘᨇᨐᨀᨘ,kumpayakun
ᨀᨘᨊᨗ,kuning
ᨀᨘᨑᨗᨄᨏᨍᨗ,kuripancaji
ᨀᨘᨑᨗᨄᨔᨗᨕ,kuripasia
ᨀᨘᨔᨇᨙᨕ,kusampèang
ᨀᨘᨔᨙᨑᨚ,kusèro
ᨀᨘᨈᨈ,kutantang
ᨒ,la
ᨅᨙᨕᨘ,bèu
ᨒᨕᨗᨒᨖ,laailaaha
ᨒᨉᨛᨕᨗ,ladde’i
ᨒᨁᨘ,lagu
ᨒᨁᨘᨒᨁᨘᨊ,lagu–laguna
ᨒᨁᨘᨊ,laguna
ᨒᨕᨗᨂᨛ,laingnge
ᨒᨀᨕᨗ,lakkai
ᨒᨀᨛᨒᨀᨛᨕᨗ,lakkelakkei
ᨒᨒᨛ,laleng
ᨒᨒᨚ,lalo
ᨒᨇ,lampa'
ᨒᨆᨘᨑᨘ,lamuru
ᨒᨂᨗ,langi'
ᨒᨕᨚ,lao
ᨒᨄᨂᨂᨙ,lapangangngè
ᨒᨄ,lappa
ᨒᨑᨗᨊᨗ,larini
ᨒᨓᨗ,lawi’
ᨒᨙᨌᨙ,lèccè
ᨒᨛᨈᨘ,lettu’
ᨒᨗᨆ,lima
ᨒᨗᨊᨚᨕᨙ,linoè
ᨒᨗᨄᨊ,lipa’na
ᨒᨗᨔᨛᨊ,lise’na
ᨒᨚᨈᨑ,lontara
ᨒᨚᨑᨚᨔᨛ,loroseng
