aksara_lontara,aksara_latin
ᨄᨘᨈᨋᨕᨗᨕᨙᨂᨗ,putanraièngngi
ᨄᨘᨓ,puwang
ᨑ,ra
ᨑᨍ,rajang
ᨑᨍᨕᨗ,rajai
ᨑᨇ,rampa
ᨑᨄᨂᨗ,rapangi
ᨑᨄᨊ,rapanna
ᨑᨈᨘ,ratu
ᨑᨕᨘ,raung
ᨑᨙᨀᨚ,rèkko
ᨑᨗ,ri
ᨑᨗᨕᨁᨘᨑᨘᨕᨗ,riaggurui
ᨑᨗᨕᨀ,riakka’
ᨑᨗᨕᨒ,riala
ᨑᨗᨕᨒᨙ,rialè
ᨑᨗᨕᨆᨔᨙᨕᨗ,riamasèi
ᨑᨗᨕᨔᨛ,riase’
ᨑᨗᨕᨔᨛ,riaseng
ᨑᨗᨕᨔᨛᨂᨙ,riasengngè
ᨑᨗᨕᨔᨛᨆᨘᨈᨚᨕᨗ,riasengmutoi
ᨑᨗᨅᨒᨘ,ribalu’
ᨑᨗᨅᨉ,ribandang
ᨑᨗᨅᨚᨈᨗᨂᨙ,ribottingngè
ᨑᨗᨌᨛᨆᨙ,ricemmè
ᨑᨗᨌᨛᨆᨙᨓᨙ,ricemmèwè
ᨑᨗᨕᨗᨔᨛ,riisseng
ᨕᨄᨕᨗᨔᨛᨂᨛ,apaissengnge
ᨑᨗᨒᨕᨗᨊᨕᨙ,rilainnaè
ᨑᨗᨒᨒᨛ,rilaleng
ᨑᨗᨒᨒᨛᨊ,rilalenna
ᨑᨗᨆᨘᨋᨗ,rimunri
ᨑᨗᨕᨚᨒᨚ,riolo
ᨑᨗᨕᨚᨒᨚᨊ,riolona
ᨑᨗᨕᨚᨒᨚᨈ,riolota’
ᨑᨗᨄᨅᨛᨈᨘᨕᨂᨗ,ripabbettuangngi
ᨑᨗᨄᨖ,ripahang
ᨑᨗᨄᨀᨙᨁᨘᨊ,ripakkèguna
ᨑᨗᨄᨆᨘᨒᨕᨗ,ripammulai
ᨑᨗᨄᨏᨍᨗᨊ,ripancajinna
ᨑᨗᨄᨄᨚᨒᨙ,ripappolè
ᨑᨗᨄᨑᨛᨊᨘᨓᨂᨗᨊᨗ,riparennuwangini
ᨑᨗᨄᨔᨗᨌᨚᨌᨚᨊ,ripasicoco’na
ᨑᨗᨄᨚᨕᨉ,ripoada
ᨑᨗᨄᨚᨕᨉ,ripoadang
ᨑᨗᨄᨚᨁᨕᨘ,ripogau
ᨑᨗᨄᨕᨗᨔᨛᨂᨂᨗ,rippaissengangi
ᨑᨗᨄᨛᨊ,rippe'na
ᨑᨗᨄᨘᨕᨉᨕᨗ,ripuadai
ᨑᨗᨄᨘᨕᨉ,ripuada
ᨑᨗᨄᨘᨓᨂᨙ,ripuwangngè
ᨑᨗᨑᨘᨈᨘ,riruntu’
ᨑᨗᨔᨒᨗᨓᨛ,risaliweng
ᨑᨗᨔᨄ,risappa’
ᨑᨗᨔᨙᨉᨗᨕᨙ,risèddiè
ᨑᨗᨔᨙᨔᨙᨊ,risèsèna
ᨑᨗᨈᨂᨕᨗ,ritanga'i
ᨑᨗᨈᨛᨒ,ritella’
ᨑᨗᨈᨛᨒᨕᨙ,ritellaè
ᨑᨗᨈᨛᨂ,ritengnga
ᨑᨗᨈᨛᨂᨊ,ritengngana
ᨑᨗᨈᨘ,ritu
ᨑᨗᨕᨘᨀᨗ,riuki’
ᨑᨗᨕᨘᨀᨗᨊ,riuki’na
ᨕᨘᨀᨗᨊ,uki'na
ᨑᨗᨓᨙᨑᨙ,riwèrèng
ᨑᨗᨓᨛᨈᨘ,riwettu
ᨑᨗᨓᨛᨈᨘᨕᨙ,riwettuè
ᨑᨚᨉ,ronda
ᨑᨘᨉᨗ,rudding
ᨑᨘᨄᨘ,rumpu'
ᨑᨘᨄ,rupa
ᨑᨘᨄᨆᨘ,rupamu
ᨑᨘᨄᨊ,rupanna
S,S
ᨔ,sa
ᨔᨅ,saba’
ᨔᨉᨕᨙ,saddaè
ᨔᨉᨛ,sade’
ᨔᨖᨅᨊ,sahaba’na
ᨔᨖᨛᨅᨉᨑ,sahebadara
ᨔᨍ,sajang
ᨑᨛᨊᨘ,rennu
ᨔᨒ,sala
ᨔᨒᨄᨖᨀᨈᨘ,salapahakkatu
ᨔᨒᨔᨙᨉᨗ,salasèddi
ᨔᨒᨒᨖᨘ,sallallahu
ᨔᨇ,sampang
ᨔᨋᨚ,sanro
ᨔᨋᨚᨕᨙ,sanroè
ᨔᨊᨘ,sanu
ᨔᨄᨚ,sappo’
ᨔᨑᨙᨀᨘᨕᨆᨛᨂᨗ,sarèkkuammengngi
ᨔᨔᨛᨈᨛᨑ,sasetera
ᨔᨙᨉᨗ,sèddi
ᨔᨙᨉᨗᨕᨙ,sèddiè
ᨔᨙᨉᨗᨊ,sèddina
ᨔᨛᨒᨈ,selatan
ᨔᨙᨒᨙ,sèllè
ᨔᨛᨒᨛᨂᨙ,sellengngè
ᨔᨙᨑ,sèrra'
ᨔᨛᨑᨗ,serring
ᨔᨛᨈᨘᨑᨘᨈᨘᨑᨛᨊ,seturuturena
ᨔᨗ,si
ᨔᨗᨕᨒ,siala
ᨔᨗᨕᨑᨕᨙ,siarè’
ᨔᨗᨅᨒᨗ,sibali
ᨔᨗᨅᨓ,sibawa'
ᨔᨗᨅᨚᨒ,sibola
ᨔᨗᨍᨏᨗ,sijanci
ᨔᨗᨀᨚᨒᨕᨙ,sikolaè
ᨔᨗᨒᨅᨗ,silabi'
ᨔᨘᨒᨕᨗᨂᨛᨁ,silaingengga
ᨔᨗᨒᨕᨗᨂᨛᨂᨗ,silaingengngi
ᨔᨗᨒᨕᨗᨂᨛᨊ,silaingenna
ᨔᨗᨒᨙᨂᨛᨁ,silèngngega
ᨔᨗᨊᨗᨊ,sininna
ᨔᨗᨄᨚᨂᨛᨊ,sipongenna
ᨔᨗᨄᨉ,sippada
ᨔᨗᨑᨗ,siri’
ᨔᨗᨔᨙᨒᨙ,sisèllè
ᨔᨗᨈᨛᨈᨚᨂᨛ,sitettongeng
ᨔᨗᨈᨗᨊᨍ,sitinaja
ᨔᨗᨈᨗ,sitti
ᨔᨚᨒᨂᨗ,solangi
ᨔᨚᨑᨚ,sorong
ᨔᨘᨀᨘ,suku
ᨔᨘᨀᨘᨄ,sukupa
ᨔᨘᨒᨄ,sulapa'
ᨔᨘᨒᨓᨙᨔᨗ,sulawesi
ᨔᨘᨆᨈᨛᨑ,sumatera
ᨔᨘᨑᨛ,sure’
ᨔᨘᨑᨘᨁ,suruga
ᨈ,ta
ᨈᨕᨒ,taala
ᨈᨅᨘᨀ,tabbuka'
ᨈᨌᨗᨌᨛ,tacciceng
ᨈᨍᨊ,tajanna
ᨈᨀᨈᨚᨑᨚ,takkatoro’
ᨈᨒᨕᨚ,talao
ᨈᨒᨕᨚᨊ,talaona
ᨈᨇᨘ,tampu’
ᨈᨇᨘᨕᨙ,tampu’è
ᨈᨊ,tana
ᨈᨂᨑᨛᨊ,tangngarenna
ᨈᨊᨗᨕ,tania
ᨈᨍ,tanja’
ᨈᨋ,tanra
ᨈᨋᨈᨋᨊ,tanra–tanrana
ᨈᨄᨗᨊᨛᨉᨗᨂᨗ,tapineddingi
ᨈᨄᨊ,tappana
ᨈᨄᨙᨑᨙ,tappèrrè
ᨈᨄᨗᨋᨕᨗ,tappinrai
ᨈᨑᨒ,tarala
ᨈᨑᨚᨕᨗ,taroi
ᨈᨔᨙᨉᨗᨕᨙ,tassèddiè
ᨈᨔᨗᨒᨇ,tassilampa’
ᨈᨈᨅᨕᨗ,tattambai
ᨈᨈᨛᨒᨘᨂᨛ,tattellunge
ᨈᨕᨘ,tau
ᨈᨕᨘᨕᨙ,tauè
ᨈᨓ,tawang
ᨈᨙᨁᨀᨗ,tègaki’
ᨈᨛᨒᨘ,tellu
ᨈᨙᨇᨙ,tèmpè
ᨈᨙᨇᨚ,tèmpo
ᨈᨛᨊᨕᨗᨈ,tennaita
ᨈᨛᨋᨗᨈᨕᨙ,tenritaè
ᨈᨛᨄᨉᨕᨗ,teppadai
ᨈᨛᨄᨉ,teppada
ᨈᨛᨄᨄᨚᨒᨙ,teppapolè
ᨈᨛᨄᨘ,teppu
ᨈᨛᨄᨘᨊ,teppuna
ᨈᨛᨑᨗ,terri
ᨈᨛᨈᨙ,tette’
ᨈᨙᨈᨚ,tettong
ᨈᨚᨖ,toha
ᨈᨚᨕᨗ,toi
ᨈᨚᨆᨈᨚᨓ,tomatowa
ᨈᨚᨆᨈᨚᨓᨊ,tomatowanna
ᨈᨚᨆᨌᨑᨗᨈ,tommaccarita
ᨈᨚᨂᨛᨈᨚᨂᨛ,tonge-tongeng
ᨈᨚᨑᨗᨕᨚᨒᨚᨈ,toriolota
ᨈᨘ,tu
ᨈᨘᨕ,tua’
ᨈᨘᨅᨘ,tubu
ᨈᨘᨉ,tudang
ᨈᨘᨒᨗ,tuli
ᨈᨘᨆᨄᨑᨗᨔᨗ,tumapa’risi'
ᨈᨘᨃᨛ,tungke’
ᨈᨘᨑᨗᨕᨚᨒᨚᨕᨙ,turioloè
ᨈᨘᨑᨗᨄᨏᨍᨗ,turipancaji
ᨕᨘᨕᨕᨙ,uaè
ᨕᨘᨁᨗ,ugi’
ᨕᨘᨁᨗᨕᨙ,ugi’è
ᨕᨘᨁᨗᨈ,ugitta’
ᨕᨘᨀᨗ,uki’
ᨕᨘᨀᨗᨀᨗ,ukiki
ᨕᨘᨆᨌᨗᨊ,umacinna
umar,umar
ᨕᨘᨃᨄ,ungkapang
ᨕᨘᨊᨗ,uni
ᨕᨘᨊᨗᨕᨀᨛᨂᨗ,uniakkengngi
ᨕᨘᨊᨗᨊ,uninna
ᨕᨘᨄᨕᨙᨋᨙ,upaènrè’
ᨕᨘᨑᨊᨙ,uranè
ᨕᨘᨔᨖ,usaha
ᨕᨘᨓᨕᨙ,uwaè
ᨕᨘᨓᨒ,uwala
ᨓ,wa
ᨓᨕᨒᨕᨗᨀᨘᨆᨛ,waalaikume
ᨓᨁᨙ,wage
ᨓᨍᨘᨕᨙ,wajuè
ᨓᨀᨈᨕᨗ,wakkattai
ᨓᨒ,wala
ᨔᨘᨍᨗ,suji
ᨓᨑᨇᨑ,waramparang
ᨓᨑᨙᨊᨗ,warènni
ᨓᨔᨒᨆ,wasallama
ᨓᨔᨙᨒᨙ,wassèlè’
ᨓᨈᨀᨒᨙ,watakkalè
ᨓᨓ,wawang
ᨓᨙ,wè
ᨓᨛᨉᨗ,wedding
ᨓᨛᨉᨗᨂᨙ,weddingè
ᨓᨛᨉᨗᨂᨗ,weddingi
ᨓᨛᨉᨗᨂᨙ,weddingngè
ᨓᨛᨉᨗᨂᨗ,weddingngi
ᨓᨛᨉᨗᨈᨚᨕᨗ,weddittoi
ᨓᨛᨊᨗᨊ,wenninna
ᨓᨙᨑᨙᨀᨉ,wèrèkkada
ᨓᨙᨑᨙᨀᨉᨕᨙ,wèrèkkadaè
x,x
yunus,yunus
ᨐᨘᨔᨘᨄᨘ,yusupu
ᨄᨖ,pahang
ᨆᨉᨙᨌᨙᨂᨗ,madècèngngi
ᨅᨘᨕᨊ,buana
ᨕᨈᨗᨀᨘ,atikku’
ᨑᨗᨄᨘᨍ,ripuji
ᨓᨀᨂᨙ,wakkangngè
ᨆᨒᨗᨒ,mallila
ᨄᨑᨑ,pararang
ᨊᨄᨘᨍᨗᨕᨙ,napujiè
ᨆᨅᨛᨒᨙ,mabbellè
ᨆᨒᨇᨙ,malampè
ᨒᨗᨆ,lima
ᨕᨁᨁᨊ,agaganna
ᨈᨙᨒᨚᨒ,tèllolang
ᨄᨑᨆᨈᨕᨗ,Paramatai
ᨀᨇᨚᨂᨙ,kampongngè
ᨉᨙᨕᨙ,dè’è
ᨆᨉᨗᨕᨔᨙᨀᨗᨓᨗ,madiasèkiwi
ᨕᨀᨛᨔᨗᨂᨛᨊ,akessingenna
ᨕᨆᨌᨂᨛᨊ,amaccangenna
ᨀᨇᨚ,kampong
ᨆᨙᨆᨊ,mèmmana
ᨆᨒᨄᨗ,mallapi’
ᨉᨕᨘ,daung
ᨔᨗᨔᨙᨒᨙᨔᨙᨒᨙ,sisèllèsèllè
ᨒᨚᨈᨑᨕᨙᨑᨚ,lontara'èro
ᨒᨕᨗᨂᨙ,laingnge
ᨈᨚᨄ,toppa
ᨕᨔᨛᨊ,asenna
ᨒᨚᨈᨑᨕᨙ,lontara’è
ᨖᨘᨑᨘᨄᨘᨊ,hurupu’na
ᨍᨓᨕᨙ,jawaè
ᨒᨂᨗ,langi'
ᨆᨃᨔ,mangkasa'
ᨑᨘᨄᨘ,rupu
ᨔᨘᨆᨈᨛᨑ,sumatera
ᨆᨀᨈᨛᨒᨘ,makkatellu
ᨊᨕᨘᨒᨙᨕᨗ,naullèi
ᨈᨋᨊ,tanrana
ᨕᨌᨘᨕᨊ,accuanna
ᨄᨚᨂᨙ,pong’è
ᨕᨗᨕᨊᨑᨚ,ianaro
ᨅᨒᨊ,balana’
ᨈᨛᨂᨗᨊ,tenggina
ᨆᨋᨙᨕᨗ,manrèi
ᨒᨑᨗᨕᨂᨗ,lariangngi
ᨀᨑᨛᨒ,karella
ᨆᨘᨕ,mua'
ᨕᨗᨊᨋᨙ,inanrè
ᨓᨙᨁᨊᨗ,wègani
ᨒᨅᨙᨒ,labèla
ᨑᨗᨅᨚᨒᨙᨅᨚᨒᨙᨊ,ribolèbolèna
ᨒᨙᨕᨘ,lèu
ᨔᨗᨕᨇᨗᨕᨇᨗ,siampi’ampi’
ᨒᨗᨄᨘᨊ,lipunna
ᨆᨈᨕᨗ,matai
ᨈᨘᨍᨘ,tuju
ᨍᨚᨕᨊ,joa’na
ᨆᨀᨕᨛᨄ,makkaeppa'
ᨔᨗᨈᨚᨂᨛᨊ,sitongenna
ᨕᨈᨘᨀᨛᨊᨊ,atukennana
ᨕᨊᨔᨗᨀᨚᨒᨕᨙ,ana'sikolaè
ᨔᨗᨈᨚᨂᨛᨈᨚᨂᨛᨊ,sitongettongenna
ᨕᨈᨘᨕᨈᨘ,atu'atu'
ᨕᨓᨈᨂᨛ,awatangeng
ᨕᨓᨈᨂᨛᨊ,awatangenna
ᨊᨕᨗᨕ,naia
ᨊᨄᨛᨑᨛᨒᨘᨓᨂᨙ,naperelluwangè
ᨊᨄᨑᨛᨒᨘᨕᨂᨙ,naparelluangè
ᨆᨔᨗᨄ,massipa'
ᨄᨂᨙᨑᨘ,pangèru'
ᨈᨘᨀᨛᨊᨊ,tukennana
ᨕᨔᨗᨒᨕᨗᨂᨛᨊ,assilaingenna
ᨄᨘᨕᨗᨔᨗ,puisi
ᨕᨔᨗᨔᨚᨇᨘᨂᨛᨊ,assisompungenna
ᨅᨌᨕᨗ,bacai
ᨊᨀᨆᨒᨀᨛ,nakkammalakke
ᨆᨒᨁᨗ,malagi
ᨊᨉᨑᨑᨗ,naddarari
ᨕᨀᨈᨘᨓᨚᨊ,akkatuwonna
ᨄᨂᨘᨍᨘᨕᨗ,pangujui
ᨕᨔᨗᨈᨚᨒᨚᨈᨚᨒᨚᨂᨛᨊ,asitolottolongenna
ᨑᨗᨄᨂᨘᨍᨘ,ripanguju
ᨑᨗᨄᨂᨘᨍᨘᨕᨙ,ripangujuè
ᨔᨗᨆᨈ,simata
ᨑᨗᨈᨕᨘ,ritau
ᨈᨋᨈᨋᨊ,tanra-tanrana
ᨕᨗᨐᨊᨑᨗᨈᨘ,iyanaritu
ᨊᨄᨛᨑᨛᨒᨘᨓᨂᨗ,naperelluwangi
ᨊᨄᨑᨛᨒᨘᨕᨂᨗ,naparelluangi
ᨅᨛᨈᨘᨓᨊ,bettuwanna
ᨊᨄᨖᨂᨗ,napahangngi
ᨔᨙᨕᨘᨕᨕᨗ,sèuwai
ᨔᨙᨕᨘᨕᨕᨗ,sèuai
ᨒᨄᨒᨄ,lappa-lappa
ᨑᨗᨄᨖᨂᨗ,ripahangi
ᨕᨗᨕᨁᨘᨑᨘᨕᨗ,iaggurui
ᨆᨒᨗᨋᨘᨊ,mallinrungna
ᨄᨉ,pada
ᨕᨈᨛᨄᨛᨑᨛᨊ,atepperenna
ᨑᨗᨅᨌᨅᨌᨕᨙ,ribaca-bacaè
ᨑᨗᨐᨔᨛᨂᨙ,riyasengè
ᨕᨒᨙᨓᨙ,alèwè
ᨑᨗᨕᨓ,riawa
ᨕᨚᨑᨚᨓᨊᨙ,orowanè
ᨑᨗᨕᨔᨛᨂᨗ,riasengi
ᨕᨗᨐᨊᨘ,iyanu
ᨕᨗᨕᨊᨘ,ianu
ᨕᨗ,i
ᨑᨗᨈᨘᨍᨘᨊ,ritujunna
ᨄᨀᨆᨔᨙ,pakammasè
ᨄᨆᨔᨙᨕᨗ,pammasèi
ᨑᨗᨕᨄᨔᨋᨙᨔᨛ,riappasanrèseng
ᨕᨑᨍ,araja
ᨔᨒᨔᨙᨉᨗᨊ,salaseddina
ᨆᨑᨛᨄᨙᨕᨙ,mareppè'è
ᨒᨚᨒᨚᨂᨛᨂᨗ,lolongengngi
ᨑᨗᨒᨕᨗᨊᨕᨙᨑᨚ,rilainnaèro
ᨊᨒᨚᨒᨚᨂᨛ,nalolongeng
ᨔᨗᨔᨚᨇᨘᨊ,sisompuna
ᨄᨆᨔᨙ,pammasè
ᨕᨄᨌᨗᨂᨛ,apaccingeng
ᨌᨕᨗᨐ,caiya
ᨑᨗᨄᨘᨓ,ripuwang
ᨑᨗᨁᨛᨊ,rigenna
ᨆᨔᨛᨔᨘ,massessung
ᨕᨒᨗᨔᨗᨆᨘ,alisi'mu
ᨆᨊᨛᨊ,manengna
ᨌᨛᨊᨗᨋᨑ,cenningnrara
ᨑᨗᨄᨀᨙ,ripakè
ᨊᨄᨚᨍᨗ,napoji
ᨑᨗᨄᨉᨈ,ripadatta
ᨑᨗᨈᨘᨍᨘ,rituju
ᨄᨘᨒᨊ,pulana
ᨆᨍᨛᨄᨘ,mejjeppu
ᨑᨗᨁᨕᨘ,rigau'
ᨔᨙᨕᨘᨓᨕᨙ,sèuwa'è
ᨑᨗᨄᨔᨒᨛᨊ,ripassalenna
ᨑᨘᨄᨑᨘᨄᨊ,rupa-rupanna
ᨑᨗᨅᨔ,ribasa
ᨕᨅᨗᨌᨑᨅᨗᨌᨑᨂᨛ,abbicara-bicarangeng
ᨈᨁᨘᨑᨘᨕᨗ,taggurui
ᨒᨆᨒ,lamala
ᨒᨔᨊᨘ,lasanu'
ᨆᨉᨙᨌᨙᨆᨘᨕ,madècèmmua'
ᨊᨈᨛᨆᨀ,natemmaka
ᨑᨗᨀᨈᨚᨑᨚ,rikatoro
ᨕᨁ,aga
ᨊᨆᨘᨒᨕᨚ,namulao
ᨔᨆᨘᨈᨛᨄ,samuteppa
ᨊᨛᨊᨒᨕᨚ,nennalao
ᨅᨒᨘᨅᨒᨘᨀᨘ,balu'-balu'ku
ᨑᨗᨄᨆᨑᨙᨈᨈ,ripamarètata
ᨄᨑᨍᨕᨙᨂ,parajaèngnga
ᨕᨉᨇᨛ,addampeng
ᨉᨙᨊᨆᨑᨗᨁᨁ,dè'namarigaga
ᨕᨗᨐᨆᨗ,iyami
ᨓᨀᨈᨕᨗ,wakkattai
ᨐᨚᨒᨚ,yolo
ᨆᨙᨑᨀᨗ,meraiki'
ᨆᨀᨘᨕᨗ,makkui
ᨈᨘᨄᨒᨙᨊ,tupalè'na
ᨈᨚᨔᨗᨅᨓ,tosibawa
ᨆᨙᨆᨛᨊᨗ,mèmengna
ᨕᨈᨛᨊᨗ,atenni
ᨆᨀᨈᨛᨊᨗ,makkatenni
ᨑᨗᨒᨄᨂᨂᨙ,rilapangangngè
ᨒᨑᨘᨉᨗ,larudding
ᨒᨅᨛᨉᨘ,labeddu
ᨒᨅᨌᨚ,labaco
ᨕᨆᨘᨑᨙᨊᨆᨗ,amurènami
ᨑᨗᨅᨚᨊᨙ,ribonè
ᨑᨗᨄᨔᨕᨙ,ripasa'è
ᨕᨈᨚᨑᨚ,atoro'
ᨑᨗᨕᨛᨔᨚᨕᨙ,riessoè
ᨔᨗᨄᨘᨂᨛᨊ,sipongenna
ᨆᨈᨙ,matè
ᨔᨗᨆᨒᨁᨕᨗ,simallagai
ᨊᨕᨙᨓ,naèwa
ᨆᨍᨈᨘ,maja'tu
ᨕᨗᨐᨕᨙ,iyyaè
ᨈᨛᨈᨛ,tette'
ᨔᨔᨛᨈᨛᨑᨕᨙ,saseteraè
ᨄᨈᨚᨒ,pattola
ᨑᨗᨄᨈᨚᨒ,ripattola
ᨈᨇᨘᨕᨗ,tampu'i
ᨑᨗᨄᨏᨍᨗᨕᨙ,ripancajiè
ᨆᨔᨛᨑᨚ,masero
ᨑᨗᨕᨙᨊᨍᨕᨗᨕᨙ,riènnajaiè
ᨊᨈᨄᨗ,natappi
ᨔᨍᨗᨊ,sajinna
ᨊᨆᨕᨙᨒᨚ,namaèlo
ᨑᨗᨕᨋᨙ,rianrè
ᨄᨚᨒᨙᨕᨊ,polèanna
ᨆᨒᨛᨒᨘ,mallelu
ᨈᨙᨉᨚ,tèdong
ᨊᨍᨆ,najama
ᨕᨓᨈᨂᨛᨊᨆᨗ,awatangennami
ᨊᨈᨘᨑᨘᨔᨗ,naturusi
ᨊᨄᨀᨙᨁᨘᨊᨕᨗ,napakkègunai
ᨕᨀᨒᨛᨊ,akkalenna
ᨆᨒᨔ,malasa
ᨕᨎᨑ,anyarang
ᨊᨔᨛ,naseng
ᨆᨒᨛᨁᨛᨆᨘᨕ,maleggemua
ᨊᨒᨙᨄᨛᨕᨗ,nalèpè'i
ᨆᨗᨌᨘ,miccu
ᨄᨘᨈᨙᨊ,putèna
ᨄᨘᨑᨕᨙ,puraè
ᨊᨌᨙᨌᨙ,nacèccè
ᨔᨙᨕᨘᨓ,sèuwa
ᨊᨒᨘᨑᨘ,nalluru
ᨊᨄᨘᨍᨗ,napuji
ᨆᨄᨘᨍᨗ,mappuji
ᨅᨒᨚ,balo
ᨒᨗᨄ,lipa'
ᨈᨌᨗᨊᨇᨛᨆᨗ,taccinaampe'mi
ᨕᨁᨁᨕᨙ,agagaè
ᨄᨆᨘᨒᨊᨆᨗ,pammulannami
ᨅᨓ,bawang
ᨆᨕᨗᨈᨊᨗ,maittani
ᨊᨌᨙᨌᨙᨊᨗ,nacèccèni
ᨆᨂᨈᨘ,mangatu'
ᨈᨛᨈᨘ,tentu
ᨑᨗᨄᨖᨊᨗ,ripahanni
ᨑᨗᨔᨘᨔᨘᨂᨗ,risusungngi
ᨆᨏᨍᨗᨊᨗ,mancajini
ᨆᨀᨕᨑᨘᨕ,makaaruwa
ᨕᨙᨒᨚ,èlong
ᨊᨑᨘᨄᨕᨗ,narupai
ᨈᨋᨈᨋ,tanra-tanra
ᨕᨙᨒᨚᨂᨙ,èlongngè
ᨕᨃᨛ,angke'
ᨊᨕᨚᨀᨗᨕᨗ,naoki'i
ᨊᨕᨙᨒᨚ,naèlong
ᨕᨙᨒᨚᨂᨙᨑᨚ,èlongngèro
ᨊᨄᨀᨈᨍᨊᨗ,napakatajanni
ᨊᨄᨊᨛᨔᨕᨗ,napannessai
ᨊᨄᨀᨈᨍᨕᨗ,napakatajangi
ᨆᨑᨘᨀᨗᨕᨗ,marruki'i
ᨊᨕᨙᨒᨚᨂᨗ,naèlongngi
ᨊᨕᨘᨀᨗ,nauki'
ᨕᨃᨛᨊ,angke'na
ᨕᨀᨈᨘᨓᨚᨂᨛᨂᨙ,akatuwongengngè
ᨄᨂᨗᨔᨛᨂᨛᨂᨙ,pangisengengngè
ᨑᨗᨕᨚ,rio
ᨑᨛᨊᨘᨈ,rennuta'
ᨕᨀᨈᨘᨓᨚᨈᨘᨓᨚᨂᨛᨂᨙ,akatuwo-tuwongengngè
ᨆᨖᨛᨆᨉᨛ,mahemude
ᨕᨄ,appang
ᨆᨄᨘᨊᨕᨗ,mappunnai
ᨔᨗᨕᨑᨙᨕᨑᨙ,siarè'-arè'
ᨄᨘᨒᨗᨔᨛᨕᨗ,pulise'i
ᨕᨃᨛᨕᨃᨛᨊ,angke'-angke'na
ᨀᨘᨓᨕᨙᨊ,kuwaènna
ᨑᨗᨄᨂᨗᨔᨛᨂᨛᨂᨙ,ripangisengengngè
ᨑᨗᨕᨔᨗᨕᨆᨔᨙᨂᨙ,riassiamasèngngè
ᨕᨓᨑᨊᨗᨂᨛᨂᨙ,awaraningengngè
ᨆᨄᨚᨏᨚ,maponco'
ᨓᨛᨈᨘᨕᨙ,wettuè
ᨈᨛᨋᨘᨒᨙᨊᨗ,tenrullèni
ᨑᨇᨙ,rampè
ᨈᨛᨒᨘᨕᨗ,tellui
ᨑᨗᨕᨙᨁᨊ,rièganna
ᨅᨑᨗᨔᨗᨊ,barisi'na
ᨀᨘᨄᨛᨒᨙ,kupelè
ᨆᨉᨘᨕ,maddua
ᨑᨗᨈᨘᨃᨛ,ritungke'
ᨈᨈᨛᨒᨘ,tattellu
ᨈᨑᨛᨄ,tareppa'
ᨈᨒᨗᨆ,ta'lima
ᨈᨑᨛᨊᨛ,tarenneng
ᨕᨚᨋᨚᨊ,onronna
ᨈᨘᨉᨊ,tudanna
ᨕᨉᨕᨙ,adaè
ᨔᨗᨀᨕᨗᨀᨕᨗ,sikai'-kai'
ᨄᨚᨕᨉᨕᨉᨕᨙ,poada-adaè
ᨆᨕᨙᨒᨚᨕᨙ,maèlo'è
ᨑᨗᨄᨀᨈᨍ,ripakatajang
ᨑᨗᨕᨁᨘᨑᨘᨂᨙᨓᨙ,riaggurungngèwè
ᨊᨄᨀᨙᨒᨚᨑᨗᨕᨙ,napakkèloriè
ᨊᨗᨁᨑᨚ,nigaro
ᨆᨚᨉᨚ,mondong
ᨕᨛᨄᨚᨊ,eppona
ᨀᨍᨕᨚ,kajao
ᨄᨒ,pallak
ᨈᨄᨒᨄᨒ,tappallak-pallak
ᨈᨄᨒᨗᨇᨘ,tappalimpo
ᨅᨘᨂ,bunga
ᨄᨘᨈᨙ,putè
ᨈᨈᨊᨛ,tattaneng
ᨕᨉᨙ,adè'
ᨑᨗᨄᨔᨗᨑᨗᨊ,ripassirinna
ᨈᨘᨓᨚ,tuwo
ᨕᨉᨛᨈ,ade'ta
ᨆᨒᨗᨇᨚ,mallimpo
ᨄᨘᨈᨙᨈ,putèta
ᨈᨛᨒᨘᨕᨙ,telluè
ᨌᨙᨉᨙᨀ,cèddè'ka
ᨆᨘᨈᨑᨚ,mutaro
ᨑᨗᨈᨛᨄᨚᨉᨚᨆᨘ,riteppodomu
ᨔᨚᨑᨙ,sorè
ᨊᨈᨑᨚ,nataro
ᨕᨘᨉᨊᨗ,uddani
ᨆᨀᨈ,makkatta
ᨆᨒᨘᨄᨕᨗ,mallupai
ᨊᨄᨙᨉᨙ,napèdèk
ᨆᨑᨗᨒᨒᨛ,marilaleng
ᨕᨀᨋᨙᨕᨋᨙᨊ,akkanrè-anrèna
ᨈᨛᨒᨚᨊᨚ,tellono
ᨈᨔᨗᨉᨘᨄ,tassiduppa
ᨈᨀᨓᨗ,takawing
ᨈᨔᨗᨅᨙᨈ,tassibètta
ᨌᨗᨊ,cinna
ᨕᨙᨄᨕᨙ,èppa'è
ᨔᨚᨑᨚᨂᨗ,sorongngi
ᨊᨒᨕᨚ,nalao
ᨒᨄᨄᨘᨑ,lapappura
ᨀᨉᨚᨅᨑᨗ,kaddokbari
ᨅᨒᨛᨔᨙᨊ,balesena
ᨈᨛᨆᨒᨁ,tammalaga
ᨈᨘᨆᨙᨕᨊ,tumèana
ᨕᨇᨒᨍᨙᨂᨛᨁ,ampalajèngngekga
ᨔᨗᨕ,sia
ᨄᨋᨙ,panrè
ᨄᨕᨗᨊᨘᨀᨚ,painukko
ᨆᨘᨔᨑᨚ,musaro
